"_id","ano","trimestre","uf","sexo","idade","cor","graduacao","trab","ocup","renda","horastrab","anosesco"
"600ce0695daa95c66162e3f7","2020","3","Pará","Homem","48","Parda","","Pessoas na força de trabalho","Pessoas ocupadas","5500.0","44.0","12.0"
"600ce0695daa95c66162e3f8","2020","3","Pará","Homem","23","Parda","","Pessoas na força de trabalho","Pessoas desocupadas",,,"10.0"
"600ce0695daa95c66162e3f9","2020","3","Pará","Mulher","14","Parda","","Pessoas fora da força de trabalho","",,,"8.0"
"600ce0695daa95c66162e3fa","2020","3","Pará","Mulher","44","Parda","","Pessoas na força de trabalho","Pessoas ocupadas","1100.0","20.0","8.0"
"600ce0695daa95c66162e3fb","2020","3","Pará","Mulher","22","Parda","","Pessoas na força de trabalho","Pessoas ocupadas","1045.0","48.0","12.0"
"600ce0695daa95c66162e3fc","2020","3","Pará","Homem","17","Parda","","Pessoas fora da força de trabalho","",,,"9.0"
"600ce0695daa95c66162e3fd","2020","3","Pará","Mulher","15","Parda","","Pessoas fora da força de trabalho","",,,"9.0"
"600ce0695daa95c66162e3fe","2020","3","Pará","Mulher","11","Parda","","","",,,"4.0"
"600ce0695daa95c66162e3ff","2020","3","Pará","Mulher","56","Parda","","Pessoas na força de trabalho","Pessoas ocupadas","800.0","26.0","12.0"
"600ce0695daa95c66162e400","2020","3","Pará","Homem","53","Parda","","Pessoas na força de trabalho","Pessoas ocupadas","1045.0","44.0","6.0"
